symptoms,ailment,remedies
cough sore throat,Common Cold,"Drink warm turmeric milk"
fever headache body pain,Flu,"Rest and drink plenty of fluids"
stomach ache nausea,Food Poisoning,"Drink ORS and eat bland food"
dry skin itching,Skin Allergy,"Apply aloe vera gel"
sneezing itchy eyes,Allergy,"Take steam and use nasal spray"
joint pain swelling,Arthritis,"Massage with warm mustard oil"
headache dizziness,Migraine,"Rest in a dark room"
burning sensation in eyes,Eye Infection,"Rinse eyes with cold water"
runny nose cough,Cold,"Ginger tea and honey"
vomiting diarrhea,Stomach Infection,"Drink ORS and stay hydrated"
